Quarter,From_category,To_category,Symbol,Value,DOT_USD
2022Q2,DAO Wallet,Community WG,USDC,142500.0,143574.43
2022Q2,DAO Wallet,Community WG,ENS,650.0,11678.86
2022Q2,DAO Wallet,Community WG,ETH,1.0,3282.78
2022Q2,Community WG,Support,USDC,-65868.263473,-66014.83
2022Q2,Community WG,Salaries,USDC,-27595.366907,-27572.21
2022Q2,Community WG,Discretionary,ENS,-300.0,-6758.1900000000005
2022Q2,Community WG,Communications,USDC,-3429.566258,-3428.9
2022Q2,Community WG,Discretionary,ETH,-0.95,-2557.4759999999997
2022Q2,Community WG,Onboarding,USDC,-2305.0,-2302.62
2022Q2,Community WG,Docs,USDC,-2010.0,-2008.66
2022Q2,Community WG,Hispanohablantes,USDC,-2000.0,-1997.6
2022Q2,Community WG,Discretionary,USDC,-1350.0,-1348.3799999999999
2022Q2,Community WG,Communications,ENS,-28.0,-557.8199999999999
2022Q2,Community WG,IRL Outreach,USDC,-450.0,-451.47
2022Q2 Unspent,Community WG,Community SG,ENS,322.0,2846.48
2022Q2 Unspent,Community WG,Community SG,USDC,37491.803362000006,37491.803362000006
2022Q2 Unspent,Community WG,Community SG,ETH,0.050000000000000044,55.06150000000005
2022Q3,Ecosystem,Community SG,ENS,10000.0,266100.0
2022Q3,Community WG ,Ecosystem,ENS,-10486.0,-279032.46
2022Q3 Unspent,Community WG,Community SG,USDC,37491.803362000006,37491.803362000006
2022Q3 Unspent,Community WG,Community SG,ENS,-164.0,-2578.08
2022Q3 Unspent,Community WG,Community SG,ETH,0.050000000000000044,66.82500000000006
