Quarter,From_category,To_category,Symbol,Value,DOT_USD
2022Q2,DAO Wallet,Ecosystem,USDC,377500.0,380359.37
2022Q2,DAO Wallet,Ecosystem,ENS,6500.0,116788.62
2022Q2,DAO Wallet,Ecosystem,ETH,6.0,19696.68
2022Q2,Ecosystem,SIWE,USDC,-250000.0,-250202.69
2022Q2,Ecosystem,Bug Bounty,USDC,-60000.0,-59931.68
2022Q2,Ecosystem,Eco. Grants,USDC,-28000.0,-28006.76
2022Q2,Ecosystem,Salaries,USDC,-27500.0,-27528.7
2022Q2,Ecosystem,Eco. Grants,ENS,-850.0,-9914.97
2022Q2,Ecosystem,Eco. Grants,ETH,-4.0,-7060.02
2022Q2,Ecosystem,Translators,USDC,-700.0,-701.1
2022Q2 Unspent,Ecosystem,Ecosystem,ENS,5650.0,49946.0
2022Q2 Unspent,Ecosystem,Ecosystem,ETH,2.0,2202.46
2022Q2 Unspent,Ecosystem,Ecosystem,USDC,11300.0,11300.0
2022Q3,DAO Wallet,Ecosystem,USDC,1553000.0,1554200.36
2022Q3,DAO Wallet,Ecosystem,ENS,42500.0,617138.01
2022Q3,DAO Wallet,Ecosystem,ETH,156.0,302019.12
2022Q3,Community WG ,Ecosystem,ENS,10486.0,161737.84
2022Q3,Community WG ,Ecosystem,USDC,1083.0,1085.03
2022Q3,Community WG ,Ecosystem,ETH,0.05,53.64750000000001
2022Q3,Ecosystem,Bug Bounty,USDC,-250000.0,-250059.71
2022Q3,Ecosystem,Hackathons,USDC,-195000.0,-194970.44
2022Q3,Ecosystem,Community SG,ENS,-10000.0,-149998.63
2022Q3,Ecosystem,Gitcoin Grants,USDC,-138000.0,-137973.59
2022Q3,Ecosystem,Support,USDC,-120000.0,-120136.43
2022Q3,Ecosystem,Support,ENS,-5000.0,-75101.7
2022Q3,Ecosystem,Eth.limo,USDC,-60000.0,-60047.7
2022Q3,Ecosystem,Community SG,USDC,-55000.0,-55026.31
2022Q3,Ecosystem,Fellowship,USDC,-49990.3488,-50030.09
2022Q3,Ecosystem,IRL,USDC,-50000.0,-50011.94
2022Q3,Ecosystem,Builders,USDC,-50000.0,-49990.43
2022Q3,Ecosystem,Eth.limo,ENS,-3000.0,-46174.12
2022Q3,Ecosystem,Eco. Grants,USDC,-36000.0,-36064.86
2022Q3,Ecosystem,Merch,USDC,-35000.0,-35039.79
2022Q3,Ecosystem,Builders,ETH,-20.0,-33295.2
2022Q3,Ecosystem,Community SG,ETH,-15.0,-28494.600000000002
2022Q3,Ecosystem,Builders,ENS,-2000.0,-27259.46
2022Q3,Ecosystem,Docs,USDC,-25000.0,-24995.22
2022Q3,Ecosystem,Websites,USDC,-25000.0,-24995.22
2022Q3,Ecosystem,Hackathons,ENS,-1500.0,-20444.6
2022Q3,Ecosystem,Eth.limo,ETH,-10.0,-17193.5
