Quarter,From_category,To_category,Symbol,Value,DOT_USD
2022Q2,DAO Wallet,Metagov,USDC,50000.0,50376.99
2022Q2,DAO Wallet,Metagov,ENS,2700.0,48512.2
2022Q2,Metagov,DAO Tooling,USDC,-17000.0,-17012.05
2022Q2 Unspent,Metagov,Metagov,ETH,0.0,0.0
2022Q2 Unspent,Metagov,Metagov,USDC,33000.0,33000.0
2022Q2 Unspent,Metagov,Metagov,ENS,2700.0,23868.0
2022Q3,DAO Wallet,Metagov,USDC,402000.0,402310.72
2022Q3,DAO Wallet,Metagov,ENS,15500.0,225073.86
2022Q3,DAO Wallet,Metagov,ETH,25.0,48400.5
2022Q3,Salaries,Metagov,USDC,7000.0,7003.02
2022Q3,Metagov,DAO Tooling,USDC,-150000.0,-150041.83
2022Q3,Metagov,Governance,ENS,-7250.0,-107249.0
2022Q3,Metagov,DAO Tooling,ENS,-6000.0,-88235.46
2022Q3,Metagov,Salaries,USDC,-60830.0,-60811.34
2022Q3,Metagov,Governance,USDC,-48500.0,-48492.38
2022Q3,Metagov,DAO Tooling,ETH,-10.0,-18463.6
2022Q3,Metagov,Governance,ETH,-5.0,-8150.0
2022Q3,Metagov,Salaries,ENS,-250.0,-3201.91
2022Q3 Unspent,Metagov,Metagov,ENS,4700.0,73884.0
2022Q3 Unspent,Metagov,Metagov,ETH,10.0,13365.0
2022Q3 Unspent,Metagov,Metagov,USDC,182670.0,182670.0
2022Q4,Metagov,Salaries,USDC,-78495.0,-78554.1
2022Q4,Metagov,Public Goods,ETH,-5.0,-6314.75
2022Q4,Metagov,DAO Tooling,ENS,-10.0,-110.14
2022Q4 Unspent,Metagov,Metagov,ETH,5.0,5974.0
2022Q4 Unspent,Metagov,Metagov,USDC,104175.0,104175.0
2022Q4 Unspent,Metagov,Metagov,ENS,4690.0,50089.2
2023Q1,DAO Wallet,Metagov,ETH,275.0,427467.0
2023Q1,DAO Wallet,Metagov,USDC,364000.0,364000.0
2023Q1,DAO Wallet,Metagov,ENS,3500.0,49034.39
2023Q1,Metagov,Salaries,USDC,-116166.0,-116166.0
2023Q1,Metagov,DAO Tooling,USDC,-80000.0,-80000.0
2023Q1,Metagov,DAO Tooling,ETH,-50.0,-75318.5
2023Q1,Metagov,Governance,ETH,-30.0,-45191.1
2023Q1,Metagov,Governance,USDC,-40000.0,-40000.0
2023Q1,Metagov,Sponsorship,USDC,-15000.0,-15000.0
2023Q1 Unspent,Metagov,Metagov,ETH,200.0,359780.0
2023Q1 Unspent,Metagov,Metagov,USDC,217009.0,217009.0
2023Q1 Unspent,Metagov,Metagov,ENS,8190.0,109008.90000000001
2023Q2,Discretionary,Metagov,USDC,4500.0,4500.0
2023Q2,Metagov,Endowment Fees,ETH,-150.0,-287817.0
2023Q2,Metagov,Salaries,USDC,-87501.0,-87501.0
2023Q2,Metagov,Discretionary,USDC,-6500.0,-6500.0
2023Q2 Unspent,Metagov,Metagov,USDC,127508.0,127508.0
2023Q2 Unspent,Metagov,Metagov,ENS,8190.0,70515.9
2023Q2 Unspent,Metagov,Metagov,ETH,50.0,92835.0
2023Q3,CoW,Metagov,USDC,185545.094186,185545.094186
2023Q3,DAO Tooling Pod,Metagov,ETH,60.0,111451.2
2023Q3,Delegate Gas Ref.,Metagov,ETH,0.023728167441953503,44.58143546867096
2023Q3,Metagov,CoW,ETH,-100.0,-185290.0
2023Q3,Metagov,Salaries,USDC,-101400.0,-101400.0
2023Q3,Metagov,$ENS Vesting,ENS,-6200.0,-60323.990000000005
2023Q3,Metagov,Delegate Gas Ref.,ETH,-8.825,-16580.0915
2023Q3 Unspent,Metagov,Metagov,ETH,1.1987281674419563,2000.677311460625
2023Q3 Unspent,Metagov,Metagov,USDC,211653.094186,211653.094186
2023Q3 Unspent,Metagov,Metagov,ENS,1990.0,15084.2
2023Q4,DAO Wallet,Metagov,ENS,52300.0,475407.0
2023Q4,DAO Wallet,Metagov,USDC,376000.0,376000.0
2023Q4,DAO Wallet,Metagov,ETH,157.0,272157.68
2023Q4,Metagov,$ENS Vesting,ENS,-40000.0,-343600.0
2023Q4,Metagov,Invalid Names Ref.,ETH,-113.622525757201,-270460.2429608959
2023Q4,Metagov,Salaries,USDC,-122300.0,-122300.0
2023Q4,Metagov,DAO Tooling,USDC,-105000.0,-105000.0
2023Q4,Metagov,Audit,USDC,-49000.0,-49000.0
2023Q4,Metagov,Discretionary,USDC,-6473.09321,-6473.09321
2023Q4 Unspent,Metagov,Metagov,ENS,14290.0,140613.6
2023Q4 Unspent,Metagov,Metagov,USDC,304880.000976,304880.000976
2023Q4 Unspent,Metagov,Metagov,ETH,44.57620241024095,102333.58787319015
2024Q1,Governance Pod,Metagov,USDC,83500.0,83500.0
2024Q1,Governance Pod,Metagov,ETH,31.98466803559206,72588.2445667351
2024Q1,DAO Tooling Pod,Metagov,USDC,61000.0,61000.0
2024Q1,Endowment Fees Pod,Metagov,ETH,10.55,27868.88
2024Q1,Governance Pod,Metagov,ENS,1250.0,15925.0
2024Q1,Bug Bounty SG,Metagov,USDC,14000.0,14000.0
2024Q1,Metagov,Salaries,USDC,-147000.0,-147000.0
2024Q1,Metagov,Endowment Fees,ETH,-43.54,-125688.01000000001
2024Q1,Metagov,Ref. Accidental Txs,ENS,-588.866862229215,-15233.985725869794
2024Q1,Metagov,Bylaws,USDC,-7498.673205,-7498.673205
2024Q1,Metagov,DAO Tooling,ETH,-2.0,-6999.54
2024Q1,Metagov,Event,USDC,-6000.0,-6000.0
2024Q1,Metagov,Steward Gas Ref.,ETH,-1.4228425489914505,-3229.098479659627
2024Q1,Metagov,DAO Tooling,USDC,-2780.0,-2780.0
2024Q1 Unspent,Metagov,Metagov,ENS,14951.133137770785,324290.0777582483
2024Q1 Unspent,Metagov,Metagov,ETH,40.14802789684157,141268.86576061643
2024Q1 Unspent,Metagov,Metagov,USDC,300101.327771,300101.327771
2024Q2,Endowment Fees,Metagov,ETH,43.54,131121.1454
2024Q2,Metagov,Salaries,USDC,-147000.0,-147000.0
2024Q2,Metagov,DAO Bylaws,USDC,-2500.0,-2500.0
2024Q2,Metagov,DAO Tooling,USDC,-2405.0,-2405.0
2024Q2,Metagov,AI,USDC,-2000.0,-2000.0
2024Q2 Unspent,Metagov,Metagov,ENS,14951.133137770785,201242.25203439477
2024Q2 Unspent,Metagov,Metagov,USDC,146196.32777099998,146196.32777099998
2024Q2 Unspent,Metagov,Metagov,ETH,83.68802789684156,287285.9359248357
2024Q3,DAO Wallet,Metagov,ENS,150000.0,3885000.0
2024Q3,DAO Wallet,Metagov,USDC,374000.0,374000.0
2024Q3,Metagov,$ENS Vesting,ENS,-90000.0,-2400300.0
